"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Ln AGP","LAZ Year 1","529","6.61","7.23","-1.21","-1.41","-0.2 (-0.45, 0.05)","0.12","0.62","-1.03","-1.13","-0.1 (-0.33, 0.13)","0.38","0.97"
"4","","WAZ Year 1","530","6.61","7.23","-1.16","-1.35","-0.19 (-0.42, 0.04)","0.1","0.6","-1.15","-1.17","-0.03 (-0.24, 0.19)","0.82","0.97"
"5","","WLZ Year 1","529","6.61","7.23","-0.81","-0.97","-0.16 (-0.31, -0.02)","0.03","0.21","-0.84","-0.85","-0.01 (-0.15, 0.13)","0.89","0.97"
"6","","HCZ Year 1","529","6.62","7.23","-1.71","-2.13","-0.42 (-0.67, -0.17)","0","0.01","-1.69","-2.11","-0.41 (-0.65, -0.18)","0","0.02"
"7","","LAZ Year 2","470","6.62","7.24","-1.32","-1.49","-0.16 (-0.3, -0.02)","0.02","0.18","-1.71","-1.71","0 (-0.09, 0.08)","0.96","0.97"
"8","","WAZ Year 2","472","6.62","7.24","-1.52","-1.65","-0.13 (-0.26, 0)","0.04","0.29","-1.45","-1.44","0.01 (-0.11, 0.13)","0.83","0.97"
"9","","WLZ Year 2","470","6.62","7.24","-1.06","-1.08","-0.02 (-0.13, 0.09)","0.78","0.97","-1.02","-0.98","0.03 (-0.13, 0.2)","0.7","0.93"
"10","","HCZ Year 2","470","6.62","7.24","-1.78","-1.96","-0.18 (-0.29, -0.06)","0","0.05","-2.03","-1.91","0.13 (0, 0.25)","0.05","0.57"
"11","","Length velocity Year 1 to Year 2","470","6.62","7.24","0.8","0.78","-0.01 (-0.03, 0)","0.08","0.6","0.76","0.75","-0.01 (-0.02, 0.01)","0.55","0.82"
"12","","Weight velocity (kg/month) Year 1 to Year 2","472","6.62","7.24","0.15","0.15","0 (-0.01, 0.01)","0.8","0.87","0.15","0.16","0 (-0.01, 0.01)","0.95","0.95"
"13","","Head circumference velocity (cm/month) Year 1 to Year 2","470","6.62","7.24","0.14","0.15","0 (-0.01, 0.01)","0.77","0.87","0.13","0.14","0 (0, 0.01)","0.55","0.82"
"14","","Change in LAZ Year 1 to Year 2","470","6.62","7.24","-0.04","-0.04","0 (-0.06, 0.06)","0.96","0.98","-0.15","-0.14","0.02 (-0.05, 0.08)","0.64","0.97"
"15","","Change in WAZ from Year 1 to Year 2","472","6.62","7.24","-0.23","-0.18","0.05 (-0.09, 0.18)","0.52","0.98","-0.27","-0.24","0.03 (-0.11, 0.18)","0.64","0.97"
"16","","Change in WLZ from Year 1 to Year 2","470","6.62","7.24","-0.26","-0.15","0.11 (-0.02, 0.24)","0.1","0.58","-0.13","-0.08","0.05 (-0.1, 0.21)","0.5","0.97"
"17","","Change in HCZ from Year 1 to Year 2","469","6.63","7.24","-0.04","0.09","0.13 (0, 0.26)","0.04","0.42","-0.25","-0.12","0.13 (0.03, 0.23)","0.01","0.55"
"18","","","","","","","","","","","","","","",""
"19","Ln CRP","LAZ Year 1","542","5.83","8.03","-1.23","-1.44","-0.2 (-0.32, -0.09)","0","0.01","-1.22","-1.48","-0.25 (-0.49, -0.02)","0.03","0.42"
